region,district,male,female,total
Simiyu,Itilima,148502,165398,313900
Simiyu,Meatu,143569,156050,299619
Simiyu,Maswa,167402,176723,344125
Simiyu,Busega,98700,104897,203597
Geita,Geita,400475,407144,807619
Geita,Nyang'hwale,73272,75048,148320
Geita,Mbogwe,95083,98839,193922
Geita,Bukombe,110857,113685,224542
Geita,Chato,181368,183759,365127
Kaskazini Unguja,Kaskazini A,51566,54214,105780
Kaskazini Unguja,Kaskazini B,40548,41127,81675
Kusini Unguja,Kati,38538,37808,76346
Kusini Unguja,Kusini,19342,19900,39242
Mjini/Magharibi Unguja,Magharibi,176979,193666,370645
Mjini/Magharibi Unguja,Mjini,106611,116422,223033
Kaskazini Pemba,Wete,52348,55568,107916
Kaskazini Pemba,Michweweni,50874,52942,103816
Kusini Pemba,Chakechake,46411,50838,97249
Kusini Pemba,Mkoani,47460,50407,97867
