region,district,region_name,district_name,is_urban,S,E
18,5,Kagera,Ngara,0,-2.51222,30.65583
18,6,Kagera,Bukoba Urban,1,-1.311853,31.805488
18,7,Kagera,Chato,0,-2.63778,31.76694
18,8,Kagera,Misenye,0,-3.466,31.9
19,1,Mwanza,Ukerewe,0,-2.042089,33.004549
19,2,Mwanza,Magu,0,-2.605862,33.504505
19,3,Mwanza,Nyamagana,1,-2.588308,32.950446
19,4,Mwanza,Kwimba,0,-3.074791,33.342287
19,5,Mwanza,Sengerema,1,-2.696912,32.670761
19,6,Mwanza,Geita,0,-2.9166,32.25
19,7,Mwanza,Misungwi,1,-3.020345,32.967558
19,8,Mwanza,Ilemela,1,-2.457157,32.969135
20,1,Mara,Tarime,1,-1.35,34.36667
20,2,Mara,Sengerema,1,-2.696912,32.670761
20,3,Mara,Musoma Rural,0,-1.887373,33.61469
20,4,Mara,Bunda,0,-2.05,33.86667
20,5,Mara,Musoma Urban,1,-1.495136,33.802454
20,7,Mara,Butiama,0,-1.76667,33.96667
21,1,Manyara,Babati,0,-4.21667,35.75
21,2,Manyara,Hanang,0,-4.588583,35.347671
21,3,Manyara,Mbulu,0,-3.85,35.53333
21,4,Manyara,Simanjiro,0,-4.148138,37.090999
21,5,Manyara,Kiteto,0,-5.360294,36.693672
22,3,Njombe,Makete,0,-9.128789,34.095554
22,5,Njombe,Ludewa,0,-9.980815,34.804761
24,2,Simiyu,Itilima,0,-2.823023,34.455293
24,4,Simiyu,Maswa,0,-3.277668,33.818161
25,1,Geita,Geita,0,-2.920018,32.180788
25,2,Geita,Nyang'wale,0,-3.1159,32.62506
25,3,Geita,Mbogwe,0,-3.31101,32.1174
25,4,Geita,Bukombe,0,-3.686721,31.597869
25,5,Geita,Chato,0,-2.63778,31.76694
51,1,Kaskazini Unguja,Kaskazini A,0,-5.870817,39.314721
51,2,Kaskazini Unguja,Kaskazini B,0,-5.981523,39.239012
52,1,Kusini Unguja,Kati,1,-6.141254,39.349267
52,2,Kusini Unguja,Kusini,1,-6.337886,39.49151
53,1,Mjini/Magharibi Unguja,Magharibi,1,-6.221103,39.250568
53,2,Mjini/Magharibi Unguja,Mjini,1,-6.168021,39.209704
54,1,Kaskazini Pemba,Wete,1,-5.05589,39.72938
54,2,Kaskazini Pemba,Michweweni,1,-5.026339,39.770172
55,1,Kusini Pemba,Chakechake,1,-6.801534,39.225172
55,2,Kusini Pemba,Mkoani,1,-5.376958,39.719439
