region,district,total,,male,,female,,
Iringa,Kilolo District Council ,"218,130",,"105,856",,"112,274",,
Iringa,Mafinga Town Council ,"51,902",,"25,125",,"26,777",,
Mbeya,Chunya District Council ,"290,478",,"145,420",,"145,058",,
Mbeya,Mbeya District Council ,"305,319",,"143,779",,"161,540",,
Mbeya,Kyela District Council ,"221,490",,"106,012",,"115,478",,
Mbeya,Rungwe District Council ,"339,157",,"161,249",,"177,908",,
Mbeya,Ileje District Council ,"124,451",,"58,463",,"65,988",,
Mbeya,Mbozi District Council ,"446,339",,"213,217",,"233,122",,
Mbeya,Mbarali District Council ,"300,517",,"145,867",,"154,650",,
Mbeya,Mbeya City Council ,"385,279",,"182,620",,"202,659",,
Mbeya,Momba District Council ,"196,818",,"94,257",,"102,561",,
Mbeya,Tunduma Town Council ,"97,562",,"46,854",,"50,708",,
Singida,Iramba District Council ,"236,282",,"116,997",,"119,285",,
Singida,Singida District Council ,"225,521",,"111,772",,"113,749",,
Singida,Manyoni District Council ,"296,763",,"146,030",,"150,733",,
Singida,Singida Municipal Council ,"150,379",,"73,484",,"76,895",,
Singida,Ikungi District Council ,"272,959",,"136,178",,"136,781",,
Singida,Mkalama District Council ,"188,733",,"93,534",,"95,199",,
Tabora,Nzega District Council ,"502,252",,"245,003",,"257,249",,
Tabora,Igunga District Council ,"399,727",,"195,607",,"204,120",,
Tabora,Uyui District Council ,"396,623",,"196,446",,"200,177",,
Tabora,Urambo District Council ,"192,781",,"95,997",,"96,784",,
Tabora,Sikonge District Council ,"179,883",,"88,947",,"90,936",,
Tabora,Tabora Municipal Council ,"226,999",,"111,361",,"115,638",,
Tabora,Kaliua District Council ,"393,358",,"196,369",,"196,989",,
Rukwa,Kalambo District Council ,"207,700",,"100,474",,"107,226",,
Rukwa,Sumbawanga District Council ,"305,846",,"149,062",,"156,784",,
Rukwa,Nkasi District Council ,"281,200",,"137,041",,"144,159",,
Rukwa,Sumbawanga Municipal Council ,"209,793",,"100,734",,"109,059",,
Kigoma,Kibondo District Council ,"261,331",,"125,284",,"136,047",,
Kigoma,Kasulu District Council ,"425,794",,"207,421",,"218,373",,
Kigoma,Kigoma District Council ,"211,566",,"101,499",,"110,067",,
Kigoma,Kigoma-Ujiji Municipal Council ,"215,458",,"104,185",,"111,273",,
Kigoma,Uvinza District Council ,"383,640",,"189,130",,"194,510",,
Kigoma,Buhigwe District Council ,"254,342",,"120,690",,"133,652",,
Kigoma,Kakonko District Council ,"167,555",,"81,417",,"86,138",,
Kigoma,Kasulu Town Council ,"208,244",,"99,368",,"108,876",,
Shinyanga,Shinyanga Municipal Council ,"161,391",,"78,655",,"82,736",,
Shinyanga,Kishapu District Council ,"272,990",,"135,269",,"137,721",,
Shinyanga,Shinyanga District Council ,"334,417",,"162,956",,"171,461",,
Shinyanga,Kahama District Council ,"523,802",,"256,463",,"267,339",,
Shinyanga,Kahama Town Council ,"242,208",,"117,498",,"124,710",,
Kagera,Karagwe District Council ,"332,020",,"163,864",,"168,156",,
Kagera,Bukoba District Council ,"289,697",,"141,142",,"148,555",,
Kagera,Muleba District Council ,"540,310",,"267,858",,"272,452",,
Kagera,Biharamulo District Council ,"323,486",,"160,572",,"162,914",,
Kagera,Ngara District Council ,"320,056",,"152,443",,"167,613",,
Kagera,Bukoba Municipal Council ,"128,796",,"62,521",,"66,275",,
Kagera,Missenyi District Council ,"202,632",,"100,085",,"102,547",,
Kagera,Kyerwa District Council ,"321,026",,"157,198",,"163,828",,
Mwanza,Ukerewe District Council ,"345,147",,"169,279",,"175,868",,
Mwanza,Magu District Council ,"299,759",,"146,461",,"153,298",,
Mwanza,Nyamagana Municipal Council ,"363,452",,"177,812",,"185,640",,
Mwanza,Kwimba District Council ,"406,509",,"198,096",,"208,413",,
Mwanza,Sengerema District Council ,"663,034",,"330,018",,"333,016",,
Mwanza,Ilemela Municipal Council ,"343,001",,"164,718",,"178,283",,
Mwanza,Misungwi District Council ,"351,607",,"173,997",,"177,610",,
Mara,Tarime District Council ,"339,693",,"162,986",,"176,707",,
Mara,Serengeti District Council ,"249,420",,"121,399",,"128,021",,
Mara,Musoma District Council ,"178,356",,"87,324",,"91,032",,
Mara,Bunda District Council ,"335,061",,"162,241",,"172,820",,
Mara,Musoma Municipal Council ,"134,327",,"62,694",,"71,633",,
Mara,Rorya District Council ,"265,241",,"126,247",,"138,994",,
Mara,Butiama District Council ,"241,732",,"117,129",,"124,603",,
Manyara,Babati District Council ,"312,392",,"158,804",,"153,588",,
Manyara,Hanang District Council ,"275,990",,"140,212",,"135,778",,
Manyara,Mbulu District Council ,"320,279",,"161,548",,"158,731",,
Manyara,Simanjiro District Council ,"178,693",,"88,975",,"89,718",,
Manyara,Kiteto District Council ,"244,669",,"120,233",,"124,436",,
Manyara,Babati Town Council ,"93,108",,"47,313",,"45,795",,
Njombe,Njombe Town Council ,"130,223",,"61,112",,"69,111",,
Njombe,Wanging'ombe District Council ,"161,816",,"75,427",,"86,389",,
Njombe,Makete District Council ,"97,266",,"45,300",,"51,966",,
Njombe,Njombe District Council ,"85,747",,"40,047",,"45,700",,
Njombe,Ludewa District Council ,"133,218",,"63,442",,"69,776",,
Njombe,Makambako Town Council ,"93,827",,"44,031",,"49,796",,
Katavi,Mpanda Town Council ,"102,900",,"50,437",,"52,463",,
Katavi,Mpanda District Council ,"179,136",,"89,265",,"89,871",,
Katavi,Mlele District Council ,"282,568",,"139,980",,"142,588",,
Simiyu,Bariadi District Council ,"422,916",,"201,718",,"221,198",,
Simiyu,Itilima District Council ,"313,900",,"148,502",,"165,398",,
Simiyu,Meatu District Council ,"299,619",,"143,569",,"156,050",,
Simiyu,Maswa District Council ,"344,125",,"167,402",,"176,723",,
Simiyu,Busega District Council ,"203,597",,"98,700",,"104,897",,
Geita,Geita District Council ,"807,619",,"400,475",,"407,144",,
Geita,Nyang'hwale District Council ,"148,320",,"73,272",,"75,048",,
Geita,Mbogwe District Council ,"193,922",,"95,083",,"98,839",,
Geita,Bukombe District Council ,"224,542",,"110,857",,"113,685",,
Geita,Chato District Council ,"365,127",,"181,368",,"183,759",,
Kaskazini,Kaskazini A District ,"105,780",,"51,566",,"54,214",,
Kaskazini,Kaskazini B District ,"81,675",,"40,548",,"41,127",,
Kusini Unguja,Kati District ,"76,346",,"38,538",,"37,808",,
Kusini Unguja,Kusini District ,"39,242",,"19,342",,"19,900",,
Mjini Magharibi ,Magharibi District ,"370,645",,"176,979",,"193,666",,
Mjini Magharibi ,Mjini District ,"223,033",,"106,611",,"116,422",,
Kaskazini Pemba,Wete District ,"107,916",,"52,348",,"55,568",,
Kaskazini Pemba,Micheweni District ,"103,816",,"50,874",,"52,942",,
Kusini,Chake Chake District ,"97,249",,"46,411",,"50,838",,
Kusini,Mkoani District ,"97,867",,"47,460",,"50,407",,
Dodoma,Kondoa District Council ,"269,704",,"136,518",,"133,186",,
Dodoma,Mpwapwa District Council ,"305,056",,"147,306",,"157,750",,
Dodoma,Kongwa District Council ,"309,973",,"149,221",,"160,752",,
Dodoma,Chamwino District Council ,"330,543",,"158,882",,"171,661",,
Dodoma,Dodoma Municipal Council ,"410,956",,"199,487",,"211,469",,
Dodoma,Bahi District Council ,"221,645",,"105,975",,"115,670",,
Dodoma,Chemba District Council ,"235,711",,"117,585",,"118,126",,
,,,,,,,,
,,,,,,,,
