popdensity,region
45.09021716,2
3133.195262,7
50.43663915,1
26.51150607,11
97.28964971,18
57.44951404,16
123.7801509,3
13.09285282,8
32.00959076,21
80.13924632,20
44.86180613,12
31.41272089,5
76.0535009,9
292.860357,19
33.75635235,6
44.0741927,15
21.62576764,10
81.20247606,17
27.77942846,13
30.09353907,14
76.66547963,4
529.9060976,51
529.9060976,52
529.9060976,53
411.7489879,54
411.7489879,55
